synonym,standard_id,type
1321N1,CVCL_0110,cell
143B,CVCL_2270,cell
184A1,CVCL_3040,cell
184B5,CVCL_4688,cell
22RV1,CVCL_1045,cell
22Rv1,CVCL_1045,cell
23132-87,CVCL_1046,cell
23132/87,CVCL_1046,cell
2313287,CVCL_1046,cell
253J,CVCL_7935,cell
253J-BV,CVCL_7937,cell
253JBV,CVCL_7937,cell
293T,CVCL_0063,cell
2A8,CVCL_6247,cell
42-MG-BA,CVCL_1798,cell
42MGBA,CVCL_1798,cell
451Lu,CVCL_6357,cell
5637,CVCL_0126,cell
5838,CVCL_6255,cell
584,CVCL_V278,cell
59M,CVCL_2291,cell
639-V,CVCL_1048,cell
639V,CVCL_1048,cell
647-V,CVCL_1049,cell
647V,CVCL_1049,cell
697,CVCL_0079,cell
769-P,CVCL_1050,cell
769P,CVCL_1050,cell
786-0,CVCL_1051,cell
786-O,CVCL_1051,cell
786O,CVCL_1051,cell
8-MG-BA,CVCL_1052,cell
8305C,CVCL_1053,cell
8505C,CVCL_1054,cell
8MGBA,CVCL_1052,cell
9505BIK,CVCL_A1UH,cell
95T1000,CVCL_WU67,cell
A-204,CVCL_1058,cell
A-253,CVCL_1060,cell
A-375,CVCL_0132,cell
A-498,CVCL_1056,cell
A-549,CVCL_0023,cell
A-673,CVCL_0080,cell
A-704,CVCL_1065,cell
A101D,CVCL_1057,cell
A1207,CVCL_8481,cell
A172,CVCL_0131,cell
A204,CVCL_1058,cell
A2058,CVCL_1059,cell
A253,CVCL_1060,cell
A2780,CVCL_0134,cell
A3-KAW,CVCL_1062,cell
A3/KAW,CVCL_1062,cell
A375,CVCL_0132,cell
A388,CVCL_1063,cell
A3KAW,CVCL_1062,cell
A4-Fuk,CVCL_1064,cell
A4/Fuk,CVCL_1064,cell
A427,CVCL_1055,cell
A431,CVCL_0037,cell
A4573,CVCL_6245,cell
A498,CVCL_1056,cell
A549,CVCL_0023,cell
A549/ATCC,CVCL_0023,cell
A673,CVCL_0080,cell
A704,CVCL_1065,cell
ABC-1,CVCL_1066,cell
ABC1,CVCL_1066,cell
ACC-MESO-1,CVCL_5113,cell
ACCMESO1,CVCL_5113,cell
ACHN,CVCL_1067,cell
AGS,CVCL_0139,cell
ALL-PO,CVCL_1069,cell
ALL-SIL,CVCL_1805,cell
AM-38,CVCL_1070,cell
AML-193,CVCL_1071,cell
AML193,CVCL_1071,cell
AMO-1,CVCL_1806,cell
AMO1,CVCL_1806,cell
AN3 CA,CVCL_0028,cell
AN3-CA,CVCL_0028,cell
AN3CA,CVCL_0028,cell
ANGMCSS,CVCL_2297,cell
ARD,CVCL_XD83,cell
ARH-77,CVCL_1072,cell
ARK2,CVCL_IV73,cell
ARP-1,CVCL_D523,cell
ASH-3,CVCL_2856,cell
ASH3,CVCL_2856,cell
ASPC1,CVCL_0152,cell
ASPS-1,CVCL_S738,cell
ATN-1,CVCL_1073,cell
AU565,CVCL_1074,cell
AZ-521,CVCL_2862,cell
AsPC-1,CVCL_0152,cell
B-CPAP,CVCL_0153,cell
BALL-1,CVCL_1075,cell
BALL1,CVCL_1075,cell
BB30-HNC,CVCL_1076,cell
BB49-HNC,CVCL_1077,cell
BB65-RCC,CVCL_1078,cell
BC-1,CVCL_1079,cell
BC-3,CVCL_1080,cell
BC-3C,CVCL_1958,cell
BC3C,CVCL_1958,cell
BCBL1,CVCL_0165,cell
BCP-1,CVCL_0107,cell
BCPAP,CVCL_0153,cell
BDCM,CVCL_4613,cell
BE-13,CVCL_1081,cell
BE2-M17,CVCL_0167,cell
BECKER,CVCL_1093,cell
BEN,CVCL_1082,cell
BFTC-905,CVCL_1083,cell
BFTC-909,CVCL_1084,cell
BFTC905,CVCL_1083,cell
BFTC909,CVCL_1084,cell
BHT-101,CVCL_1085,cell
BHT101,CVCL_1085,cell
BHY,CVCL_1086,cell
BICR 16,CVCL_2308,cell
BICR 18,CVCL_2309,cell
BICR 22,CVCL_2310,cell
BICR 31,CVCL_2312,cell
BICR 56,CVCL_2313,cell
BICR 6,CVCL_2314,cell
BICR10,CVCL_2307,cell
BICR16,CVCL_2308,cell
BICR22,CVCL_2310,cell
BICR31,CVCL_2312,cell
BICR56,CVCL_2313,cell
BICR6,CVCL_2314,cell
BICR78,CVCL_2315,cell
BIN67,CVCL_S987,cell
BIRCH,CVCL_M599,cell
BJ hTERT,CVCL_6573,cell
BJAB,CVCL_5711,cell
BL-2,CVCL_1966,cell
BL-41,CVCL_1087,cell
BL-70,CVCL_1088,cell
BL41,CVCL_1087,cell
BL70,CVCL_1088,cell
BLUE1,CVCL_1967,cell
BOKU,CVCL_1089,cell
BONNA-12,CVCL_1090,cell
BPH-1,CVCL_1091,cell
BR:BT-549,CVCL_1092,cell
BR:HS 578T,CVCL_0332,cell
BR:MCF7,CVCL_0031,cell
BR:MDA-MB-231,CVCL_0062,cell
BR:T-47D,CVCL_0553,cell
BT-20,CVCL_0178,cell
BT-474,CVCL_0179,cell
BT-483,CVCL_2319,cell
BT-549,CVCL_1092,cell
BT12,CVCL_M155,cell
BT16,CVCL_M156,cell
BT474,CVCL_0179,cell
BT483,CVCL_2319,cell
BT549,CVCL_1092,cell
BV-173,CVCL_0181,cell
BXPC3,CVCL_0186,cell
Becker,CVCL_1093,cell
BxPC-3,CVCL_0186,cell
C-33-A,CVCL_1094,cell
C-4-I,CVCL_2253,cell
C10,CVCL_5245,cell
C2BBE1,CVCL_1096,cell
C2BBe1,CVCL_1096,cell
C32,CVCL_ZA06,cell
C33A,CVCL_1094,cell
C3A,CVCL_1098,cell
C4II,CVCL_1095,cell
C75,CVCL_5248,cell
C80,CVCL_5249,cell
C8166,CVCL_1099,cell
C84,CVCL_5250,cell
C99,CVCL_8176,cell
CA46,CVCL_1101,cell
CACO2,CVCL_0025,cell
CADO-ES1,CVCL_1103,cell
CADOES1,CVCL_1103,cell
CAKI-1,CVCL_0234,cell
CAKI1,CVCL_0234,cell
CAKI2,CVCL_0235,cell
CAL 27,CVCL_1107,cell
CAL-1 [Human plasmacytoid dendritic],CVCL_5G46,cell
CAL-120,CVCL_1104,cell
CAL-12T,CVCL_1105,cell
CAL-148,CVCL_1106,cell
CAL-27,CVCL_1107,cell
CAL-29,CVCL_1808,cell
CAL-33,CVCL_1108,cell
CAL-39,CVCL_1109,cell
CAL-51,CVCL_1110,cell
CAL-54,CVCL_1111,cell
CAL-62,CVCL_1112,cell
CAL-72,CVCL_1113,cell
CAL-78,CVCL_1809,cell
CAL-85-1,CVCL_1114,cell
CAL120,CVCL_1104,cell
CAL12T,CVCL_1105,cell
CAL148,CVCL_1106,cell
CAL27,CVCL_1107,cell
CAL29,CVCL_1808,cell
CAL33,CVCL_1108,cell
CAL51,CVCL_1110,cell
CAL54,CVCL_1111,cell
CAL62,CVCL_1112,cell
CAL72,CVCL_1113,cell
CAL78,CVCL_1809,cell
CAL851,CVCL_1114,cell
CALU1,CVCL_0608,cell
CALU3,CVCL_0609,cell
CALU6,CVCL_0236,cell
CAMA-1,CVCL_1115,cell
CAMA1,CVCL_1115,cell
CAOV3,CVCL_0201,cell
CAPAN-1,CVCL_0237,cell
CAPAN-2,CVCL_0026,cell
CAPAN1,CVCL_0237,cell
CAPAN2,CVCL_0026,cell
CAS-1,CVCL_1117,cell
CAS1,CVCL_1117,cell
CASKI,CVCL_1100,cell
CCA,CVCL_N717,cell
CCD1103KIDTR,CVCL_3298,cell
CCD1105KIDTR,CVCL_3299,cell
CCF-STTG1,CVCL_1118,cell
CCFSTTG1,CVCL_1118,cell
CCK-81,CVCL_2873,cell
CCK81,CVCL_2873,cell
CCLFPEDS0003T,CVCL_B3PL,cell
CCLFPEDS0008T,CVCL_B3PM,cell
CCLP1,CVCL_0205,cell
CCRF-CEM,CVCL_0207,cell
CCRFCEM,CVCL_0207,cell
CCSW1,CVCL_A429,cell
CESS,CVCL_0209,cell
CFPAC-1,CVCL_1119,cell
CFPAC1,CVCL_1119,cell
CGTH-W-1,CVCL_1120,cell
CH-157MN,CVCL_5723,cell
CH157MN,CVCL_5723,cell
CHA-59,CVCL_GZ61,cell
CHAGOK1,CVCL_1121,cell
CHL,CVCL_0238,cell
CHL-1,CVCL_1122,cell
CHL1,CVCL_1122,cell
CHLA-10,CVCL_6583,cell
CHLA-25,CVCL_M152,cell
CHLA-258,CVCL_A058,cell
CHLA-32,CVCL_M151,cell
CHLA-9,CVCL_M150,cell
CHLA06ATRT,CVCL_AQ42,cell
CHLA10,CVCL_6583,cell
CHLA15,CVCL_6594,cell
CHLA258,CVCL_A058,cell
CHLA266,CVCL_M149,cell
CHLA352,CVCL_M153,cell
CHLA57,CVCL_0B49,cell
CHLA9,CVCL_M150,cell
CHP-100,CVCL_7166,cell
CHP-126,CVCL_1123,cell
CHP-134,CVCL_1124,cell
CHP-212,CVCL_1125,cell
CHP100L,CVCL_IV94,cell
CHP212,CVCL_1125,cell
CHSA0011,CVCL_X483,cell
CHSA0108,CVCL_X484,cell
